date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:28	20/20	---M-Z	200	added ('OK')	text/plain	date:Thu,%2001%20Jun%202023%2002:36:27%20GMT	https://portfolio-webflow-html-website-template.webflow.io/robots.txt		(from )
09:36:28	54302/54302	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202023%2002:36:27%20GMT	https://portfolio-webflow-html-website-template.webflow.io/	D:/Download/Programs/Portofolio%20-%20Webflow/portfolio-webflow-html-website-template.webflow.io/index.html	(from )
09:36:30	123908/123908	---M-Z	200	added ('OK')	text/css	etag:%22b21dde45bc92de572645d074cedee232%22	https://assets.website-files.com/5fef5619b640934b33c2385e/css/portfolio-webflow-html-website-template.webflow.b4f226577.css	D:/Download/Programs/Portofolio%20-%20Webflow/assets.website-files.com/5fef5619b640934b33c2385e/css/portfolio-webflow-html-website-template.webflow.b4f226577.css	(from https://portfolio-webflow-html-website-template.webflow.io/)
09:36:30	553/553	---M--	200	added ('OK')	image/png	etag:%2290d99c8f82b4fa235b2af0f29ba724e6%22	https://assets.website-files.com/5fef5619b640934b33c2385e/6078acfa53127ebc015bee91_Group%2072.png	D:/Download/Programs/Portofolio%20-%20Webflow/assets.website-files.com/5fef5619b640934b33c2385e/6078acfa53127ebc015bee91_Group%2072.png	(from https://portfolio-webflow-html-website-template.webflow.io/)
09:36:31	4227/4227	---M--	200	added ('OK')	image/png	etag:%221a025a936835b2b0cf53f31d542da86e%22	https://assets.website-files.com/5fef5619b640934b33c2385e/6078acfd46b89d8f2ccece66_Group%2073.png	D:/Download/Programs/Portofolio%20-%20Webflow/assets.website-files.com/5fef5619b640934b33c2385e/6078acfd46b89d8f2ccece66_Group%2073.png	(from https://portfolio-webflow-html-website-template.webflow.io/)
09:36:31	22802/22802	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202023%2002:36:30%20GMT	https://portfolio-webflow-html-website-template.webflow.io/projects	D:/Download/Programs/Portofolio%20-%20Webflow/portfolio-webflow-html-website-template.webflow.io/projects.html	(from https://portfolio-webflow-html-website-template.webflow.io/)
09:36:32	15971/15971	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202023%2002:36:31%20GMT	https://portfolio-webflow-html-website-template.webflow.io/blog	D:/Download/Programs/Portofolio%20-%20Webflow/portfolio-webflow-html-website-template.webflow.io/blog.html	(from https://portfolio-webflow-html-website-template.webflow.io/)
09:36:32	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2001%20Jun%202023%2002:36:31%20GMT	https://portfolio-webflow-html-website-template.webflow.io/contact	D:/Download/Programs/Portofolio%20-%20Webflow/portfolio-webflow-html-website-template.webflow.io/contact	(from https://portfolio-webflow-html-website-template.webflow.io/)
09:36:33	71440/71440	---M--	200	added ('OK')	image/jpeg	etag:%2234508691fdca443b87040c7f3c3e9080%22	https://assets.website-files.com/5fef5619b640934b33c2385e/60ad1c2b0e1d633fc7ef2e69_Group%20160-min.jpg	D:/Download/Programs/Portofolio%20-%20Webflow/assets.website-files.com/5fef5619b640934b33c2385e/60ad1c2b0e1d633fc7ef2e69_Group%20160-min.jpg	(from https://portfolio-webflow-html-website-template.webflow.io/)
09:36:33	4953/4953	---M--	200	added ('OK')	image/png	etag:%22eb5cc2bb77e1b83aa257918a3e995beb%22	https://assets.website-files.com/5fef5619b640934b33c2385e/6078b0cd748b8581836fddf5_Group%20334.png	D:/Download/Programs/Portofolio%20-%20Webflow/assets.website-files.com/5fef5619b640934b33c2385e/6078b0cd748b8581836fddf5_Group%20334.png	(from https://portfolio-webflow-html-website-template.webflow.io/)
09:36:34	4871/4871	---M--	200	added ('OK')	image/png	etag:%22c0be1994cc8ecf4854284018bec125b8%22	https://assets.website-files.com/5fef5619b640934b33c2385e/6078b0ccdbeafadf1a24d34a_Group%20333.png	D:/Download/Programs/Portofolio%20-%20Webflow/assets.website-files.com/5fef5619b640934b33c2385e/6078b0ccdbeafadf1a24d34a_Group%20333.png	(from https://portfolio-webflow-html-website-template.webflow.io/)
09:36:35	4445/4445	---M--	200	added ('OK')	image/png	etag:%22743607a69007adb972d34b5e171a071d%22	https://assets.website-files.com/5fef5619b640934b33c2385e/6078b0c238e88c2e55fe84cf_Group%20335.png	D:/Download/Programs/Portofolio%20-%20Webflow/assets.website-files.com/5fef5619b640934b33c2385e/6078b0c238e88c2e55fe84cf_Group%20335.png	(from https://portfolio-webflow-html-website-template.webflow.io/)
